#acc	ensGene
Q8NGA8	ENSG00000176695
Q8NH21	ENSG00000186092
Q9NQA3	
C4AMC7	
Q6VEQ5	
O95013	ENSG00000176269
Q6IEY1	ENSG00000284662, ENSG00000284733, ENSG00000230178
O95013	ENSG00000176269
Q6IEY1	ENSG00000284662, ENSG00000284733, ENSG00000230178
Q96NU1	ENSG00000187634
Q9Y3T9	ENSG00000188976
Q6TDP4	ENSG00000187961
Q494U1	ENSG00000187583
Q5SV97	ENSG00000187642
Q9HCC6	ENSG00000188290
P05161	ENSG00000187608
O00468	ENSG00000188157
E7ERA6	ENSG00000237330
Q96HA4	ENSG00000131591
Q6ZVT0	ENSG00000162571
Q9Y5U5	ENSG00000186891
P43489	ENSG00000186827
Q9BRK5	ENSG00000078808
Q96L58	ENSG00000176022
Q5T7M4	ENSG00000184163
Q8N2K1	ENSG00000160087
P51172	ENSG00000162572
Q96P50	ENSG00000131584
Q8N0Z8	ENSG00000169972
Q5TA45	ENSG00000127054
Q5TA50	ENSG00000224051
Q7RTX0	ENSG00000169962
O14640	ENSG00000107404
P54792	
Q9BRK3	ENSG00000162576
Q9NWT8	ENSG00000175756
Q96S94	ENSG00000221978
Q9BYC9	ENSG00000242485
E5RJM6	ENSG00000235098
A6NKF7	ENSG00000205116
Q6PCB0	ENSG00000179403
Q5T2N8	ENSG00000215915
Q5T9A4	ENSG00000160072
Q9NVI7	ENSG00000197785
Q5SV17	ENSG00000205090
Q9NP77	ENSG00000160075
F2Z333	ENSG00000228594
Q96AX9	ENSG00000197530
O75900	ENSG00000189409
P21127	ENSG00000248333
Q9UQ88	ENSG00000008128
P0CK96	ENSG00000189339
P0CK97	ENSG00000215790
Q9UQ88	ENSG00000008128
P0CK97	ENSG00000215790
O95544	ENSG00000008130
P62873	ENSG00000078369
Q8TD86	ENSG00000169885
Q8NDY8	ENSG00000178821
Q9C0B2	ENSG00000142609
O14764	ENSG00000187730
Q05513	ENSG00000067606
Q6NZ36	ENSG00000162585
P12755	ENSG00000157933
Q5T089	ENSG00000116151
O15258	ENSG00000157916
O60683	ENSG00000157911
O75038	ENSG00000276429, ENSG00000149527
Q9NVE7	ENSG00000273494, ENSG00000157881
Q5TA89	ENSG00000273529, ENSG00000197921
Q92956	ENSG00000273936, ENSG00000157873
Q8TBF2	ENSG00000157870
Q495T6	ENSG00000142606, ENSG00000277131
A8MYJ7	ENSG00000215912, ENSG00000275571
Q8TDY3	ENSG00000169717
Q9HAZ2	ENSG00000142611
Q5VV41	ENSG00000130762
O75095	ENSG00000162591
Q5T0D9	ENSG00000158109
Q9P2S5	ENSG00000116213
O15350	ENSG00000078900
Q2M243	ENSG00000162592
B2RUZ4	ENSG00000235169
Q8N1G4	ENSG00000130764
O60308	ENSG00000116198
O76075	ENSG00000169598
Q8IYL3	ENSG00000198912
Q9UKB5	ENSG00000196581
